idgrupo,codgrupo,idcurso,alumnos,activo
1,ESO1A,1,22,1
2,ESO1B,1,21,1
3,ESO1C,1,20,1
4,ESO1D,1,22,1
5,ESO2A,2,19,1
6,ESO2B,2,21,1
7,ESO2C,2,20,1
8,ESO2D,2,19,1
9,ESO3A,3,25,1
10,ESO3B,3,24,1
11,ESO3C,3,25,1
12,ESO4A,4,19,1
13,ESO4B,4,18,1
14,ESO4C,4,18,1
15,ESO4D,4,17,1
16,BCH1HCS,5,21,1
17,BCH1CT,5,22,1
18,BCH2HCS,6,20,1
19,BDH2CT,6,19,1
20,FM1,7,24,1
21,FM2,8,18,1
22,MV1,9,25,1
23,MV2,10,15,1
24,CAR1,11,25,1
25,CAR2,12,16,1
26,EVA1,13,24,1
27,EVA2,14,14,1
28,SMR1,15,28,1
29,SMR2,16,19,1
30,AF1,17,24,1
31,AF2,18,25,1
32,DAM1,19,28,1
33,DAM2,20,35,1
34,DAW1,21,24,1
35,DAW2,22,18,1
36,DFM1,23,16,1
37,DFM2,24,9,1

